"Zone","Counties","Cities","URL","Sex","Cancer","PopTot","AAIR","LCI","UCI","White_PopTot","White_AAIR","White_LCI","White_UCI","Black_PopTot","Black_AAIR","Black_LCI","Black_UCI","Hispanic_PopTot","Hispanic_AAIR","Hispanic_LCI","Hispanic_UCI","Asian_PopTot","Asian_AAIR","Asian_LCI","Asian_UCI","QNSES","PopAll","PerRural","PerUninsured","PerForeignBorn","PerWhite","PerBlack","PerAsian","PerHispanic","PerAsian"
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Prostate",166640,107.2,93.1,123.3,133840,105.5,90.9,122.5,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Breast",168280,117.7,102.9,134.5,136135,112.2,96.9,130.0,"","","","",15965,193.1,109.9,330.8,"","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Lung",166640,61.5,50.7,74.4,133840,59.0,48.0,72.5,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Lung",168280,51.6,42.6,62.6,136135,51.0,41.6,62.8,"","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","CRC",166640,32.2,24.6,41.8,133840,33.6,25.5,44.2,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","CRC",168280,31.8,24.2,41.7,136135,32.6,24.3,43.7,"","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Mela",166640,38.8,30.1,49.6,133840,41.5,32.0,53.7,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Mela",168280,29.1,22.0,38.5,136135,30.2,22.3,40.7,"","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Female","Uterine",168280,26.8,20.1,35.6,136135,26.2,19.2,35.9,"","","","",15965,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
"A0837","Humboldt","Benbow, Hydesville, Arcata, Pine Hills, Fortuna, Shelter Cove, Humboldt Hill, Eureka","https://www.example.com?address=A0837","Male","Lymph",166640,26.7,19.6,36.0,133840,25.2,18.1,35.1,"","","","",17665,"","","","","","","",3,66984,42.3,18.6,5.1,80.7,1.0,2.1,10.5,2.1
